ExperienceYears,WorkHoursPerWeek,SkillScore,ProjectsHandled,TrainingHours,PerformanceScore
4,41,2,5,92,57.22399404871168
16,56,1,11,37,70.75873909346963
13,48,3,0,2,35.84627958499722
2,51,9,13,15,81.42844900133599
0,53,4,13,93,59.26639445586891
19,54,10,8,39,100.0
0,36,5,1,1,28.58456135182069
2,49,2,4,80,30.99470574937807
17,35,4,8,40,100.0
9,50,2,3,11,29.773107545999952
2,53,2,10,34,33.42050211141945
7,30,4,2,64,69.67266727345653
13,46,6,14,54,100.0
17,58,7,6,44,82.83826746300198
14,40,10,5,78,98.56934898448802
1,51,3,7,89,54.543354788607424
9,55,3,2,84,38.007426289530564
1,57,10,4,61,63.08977386396378
16,47,6,9,48,100.0
7,50,3,3,94,57.57666374095308
0,46,2,14,24,45.91218937263656
8,36,8,12,22,93.17741331498864
10,46,5,3,23,59.75173299423964
15,49,1,3,37,43.11027905797
6,38,3,9,27,58.8955927934896
9,46,10,7,20,90.10609273469524
2,49,8,5,53,59.78560211270279
17,51,4,2,17,55.906620685243716
12,51,7,9,35,82.33490903909366
6,57,10,4,98,80.21193964164083
3,58,2,5,44,17.327336554318055
12,37,7,4,72,95.52231006566318
19,46,5,5,52,85.8881168536622
0,36,5,7,29,59.03148684701786
7,30,6,6,59,78.21165036494003
13,42,9,4,97,100.0
15,59,6,9,31,74.13141950316866
13,52,8,5,66,85.84024431214921
11,48,7,13,66,99.58587768126696
18,56,9,3,27,80.7044453234105
14,53,4,11,43,78.08563676059701
1,48,2,8,78,29.500345339982896
1,59,7,12,40,64.91224062327416
18,59,6,3,62,78.22670730861043
16,58,1,0,22,26.098901294959784
19,46,9,6,74,100.0
9,42,9,6,47,91.64980783076945
5,58,2,3,31,22.497402650866697
14,59,3,12,56,73.76233258095193
10,45,5,13,99,98.42936446784978
4,37,5,2,32,47.18925387088034
0,48,1,7,23,21.368451223165966
7,47,8,4,38,70.08888450505606
11,30,8,9,33,98.56438002470185
11,43,4,6,55,66.14063419572297
4,48,7,3,27,57.378049115054736
6,44,10,3,36,82.37097633288589
3,47,3,7,6,28.809264560991693
5,31,6,13,67,95.74293194368197
12,51,10,7,36,89.84689710236032
19,57,10,1,55,89.46294758557175
14,46,9,13,64,100.0
2,47,1,1,64,17.52595682541261
7,59,5,2,46,32.82910421710178
19,35,4,14,19,100.0
15,48,8,11,18,90.21545763015372
12,33,1,11,28,75.0627030774681
17,30,9,2,73,100.0
9,37,6,0,59,70.14899463138644
18,58,4,14,17,86.38826323176626
16,52,9,13,91,100.0
18,36,5,2,34,82.06693221664541
4,32,5,5,42,62.455855733457135
8,39,5,7,94,86.79664855619876
11,39,1,12,90,80.81461504557211
0,48,1,11,10,37.273332893843815
0,43,8,13,48,87.78040977563624
14,31,8,9,37,100.0
1,57,6,5,63,42.33551997291998
15,30,4,4,68,87.51431145810724
7,52,2,14,7,53.00287629142035
12,52,2,3,33,37.6134267037739
0,57,9,2,47,29.890824329252794
15,47,5,12,55,97.32792008270516
6,36,4,3,75,66.71437106474706
4,58,10,13,64,93.78315002299676
2,37,1,6,30,29.430692710113114
11,30,7,0,3,63.59106423645499
15,54,3,6,49,46.649039364218645
18,52,6,0,68,72.49462003432711
4,32,5,1,29,44.767433536452096
13,53,5,14,87,97.25645704893887
4,52,5,3,58,40.8313121383639
14,56,1,0,66,37.63863517829134
16,58,1,10,74,64.22640658982868
13,37,3,11,44,89.84446460053005
19,51,10,10,3,100.0
4,54,4,14,25,67.79705709980699
11,44,5,10,26,77.00438152748521
15,34,2,8,45,88.34807665252258
15,32,8,11,63,100.0
6,48,2,5,90,51.287367490006176
3,30,9,12,50,100.0
0,57,2,0,49,0.336252236100238
4,44,9,0,5,52.84707133450517
9,37,7,5,58,85.40701024923871
4,31,8,3,14,71.83214006845036
3,32,2,3,29,31.869210279473805
1,53,7,14,41,81.44515115639621
19,43,6,10,36,97.69676440886163
9,53,4,14,41,71.36356454887401
18,43,7,5,34,92.98948369083413
0,40,4,14,86,77.7663941261938
4,45,2,13,5,54.54130420281246
12,33,10,11,67,100.0
3,49,7,10,17,66.82162224759617
15,34,8,6,72,100.0
15,51,2,8,28,56.05070731117858
1,50,5,9,76,48.829620201176056
16,43,1,4,58,56.535958692591976
19,52,7,8,46,94.01313070100694
11,45,8,3,16,67.36385504834753
17,47,6,12,95,100.0
2,36,5,9,21,72.17367003658458
0,39,6,1,67,44.205692360278135
0,36,2,2,68,32.488976685385495
18,30,1,12,36,82.15262839390854
10,52,7,10,48,90.57427674349103
4,50,7,0,12,33.06725034132972
11,48,10,13,33,100.0
2,45,10,13,85,100.0
0,58,2,5,52,14.01847897641687
0,48,2,12,86,60.01622493693272
7,33,1,5,50,40.69337272029429
9,58,10,0,2,53.15493328785657
10,57,8,10,41,89.06121083259826
11,47,8,12,97,100.0
12,31,1,2,31,55.794408101491996
11,30,8,4,50,100.0
13,44,9,2,84,88.5257908097299
1,34,4,9,45,62.312358570750696
18,49,1,2,20,37.50853127083848
17,40,1,13,43,84.05134922407433
2,39,3,9,10,44.9232005486369
16,31,5,2,67,80.90444450786387
7,32,5,4,0,64.99417648355679
9,52,9,12,91,100.0
1,52,10,4,62,65.69260957359812
18,41,2,3,23,58.79116717608119
8,49,2,0,98,44.090472812855616
6,34,6,4,12,59.88421883972493
3,34,9,9,97,100.0
17,35,1,4,10,61.95534851138055
12,59,9,3,99,86.2487480366029
10,38,9,5,50,89.41123327477366
3,31,9,9,16,87.1105376563381
3,50,5,3,98,44.29109473019974
9,41,9,13,81,100.0
4,32,4,6,85,77.92236219090194
8,49,2,6,23,39.388993028439785
2,55,6,1,18,35.25719575563528
16,51,4,2,36,53.69068302817172
2,41,6,0,84,53.422052357167644
15,53,3,7,7,54.45085950861361
3,46,6,8,27,61.389027258752364
17,39,2,3,4,56.25880721266773
16,59,2,5,16,39.07507313311675
6,53,9,8,35,80.46249269042677
4,56,7,5,18,49.17976208841951
11,43,3,13,63,90.73847296750739
16,52,1,11,90,77.60113592749673
12,46,8,11,97,100.0
2,47,6,11,10,70.5469303327885
8,48,7,8,53,76.28721883216286
16,46,9,14,44,100.0
16,43,5,3,46,75.37690679411135
19,38,1,7,11,69.9871085810881
15,37,10,8,20,100.0
12,31,7,3,10,84.3668896115825
18,42,5,4,91,88.07583248476377
16,54,3,13,4,80.92733670977823
3,36,9,7,80,90.66548222919367
11,38,1,11,55,74.68374524440394
8,51,1,9,19,38.86160908197884
18,51,1,13,40,73.63263238674605
11,40,3,5,45,66.22095544395432
8,43,6,11,11,93.80948448713022
6,33,10,6,69,98.99120055839842
13,55,3,2,16,41.2766078733904
19,55,8,6,18,82.97044343649902
18,58,10,11,25,100.0
14,42,2,13,47,93.18791886115837
15,31,9,7,51,100.0
4,52,3,9,95,50.30920465688439
2,34,5,5,69,63.36400675618425
11,40,10,14,54,100.0
19,35,8,9,99,100.0
3,47,2,8,74,49.60339587846498
15,50,6,12,32,92.5706599075579
6,39,5,5,61,69.1327001349196
12,33,10,11,87,100.0
9,38,9,8,22,89.6459734745613
6,35,5,12,14,80.33193795358275
13,31,2,3,26,62.72267399551255
4,46,5,7,74,70.24882570034283
2,34,4,10,63,68.17450145916429
10,54,7,3,80,73.28539312768284
10,35,6,1,50,65.73719165399318
17,55,2,9,52,65.75045108509657
14,41,5,10,77,100.0
11,52,7,8,90,85.98381960346613
8,50,7,4,81,74.7505880333316
9,39,5,3,91,69.17697927443429
11,51,9,1,50,67.05232504359833
16,50,4,0,46,56.459899771046665
5,56,3,10,3,35.78437805866171
6,54,4,6,6,38.444645476583304
13,35,5,5,34,69.49758666153087
12,56,6,14,47,98.49819676030596
7,37,3,14,72,94.43275968118388
9,31,2,1,71,67.95053599790378
8,41,4,7,44,71.49181865723193
17,42,5,10,80,97.3517488519976
1,54,4,3,80,36.34324930080296
4,50,3,7,96,48.60995618889098
4,36,8,14,95,100.0
5,39,10,6,71,87.69429856011214
18,42,4,4,18,63.85422557880101
7,46,2,9,62,49.35094273151657
15,55,2,9,37,56.958100893685
12,50,1,11,66,61.752610876082144
0,57,4,7,58,29.291754470803674
19,59,10,13,68,100.0
16,55,9,8,12,91.04940348193323
6,43,7,4,46,67.26117269928356
12,31,10,9,60,100.0
3,57,7,4,30,43.281288960214674
3,51,7,1,79,45.0565989924743
5,40,8,4,95,72.49895128741171
18,30,1,2,21,57.17471303828299
11,48,10,6,92,100.0
6,50,10,9,85,89.7233194215692
9,33,8,4,42,87.16563618998939
18,48,4,7,66,87.36962571542779
6,55,4,0,53,29.02672420221626
2,58,4,2,9,15.794916643952917
12,50,6,2,41,61.47801956436713
12,40,7,8,63,97.49640435911324
17,37,6,4,20,91.04537086236641
19,40,1,11,79,86.59854135886195
7,33,8,8,75,100.0
8,46,10,12,65,99.90879783001427
6,56,7,8,40,52.63126906406731
0,36,6,0,23,38.19164484574008
2,37,6,1,34,49.51689784472378
12,32,5,4,55,88.15333888618783
16,51,6,3,29,77.8989586650523
0,31,9,14,56,100.0
5,52,10,9,93,97.23582872199013
5,44,9,8,46,84.99982427886908
11,53,10,6,34,76.14385968408311
12,51,8,5,18,70.869816971291
12,51,10,6,7,88.85188375629113
14,34,9,0,25,88.4914092801402
15,53,10,0,70,74.56832926658525
10,30,8,7,29,99.8701282362924
4,55,8,12,6,72.84196405933861
3,33,1,12,66,68.94945060057368
2,44,10,1,64,65.66072222311332
18,49,5,11,35,95.32791983472097
19,48,4,9,24,85.28656519456199
17,32,2,10,36,85.99270617284297
14,49,8,8,0,85.27507030691048
8,40,3,6,14,50.853024296263925
16,46,4,5,36,60.763830661268784
13,59,7,0,12,41.59196482480918
14,56,10,0,7,55.58155157327288
0,42,9,1,4,51.700467675350524
2,40,2,5,59,42.579446887771596
15,31,3,13,72,100.0
10,38,4,5,0,64.10260671644325
11,55,10,1,35,67.33995453790584
9,31,1,0,34,31.643886220165626
15,50,7,9,65,92.80260729908095
7,38,2,4,62,58.564270936366455
5,38,5,4,22,50.05262187455428
11,37,1,1,8,35.97610644378915
7,46,3,5,33,48.31938312257319
3,30,2,8,45,61.94974242277471
7,54,1,1,77,35.6472989947905
17,58,7,9,3,72.71848371538366
4,40,5,1,29,36.417684597335985
8,37,1,2,94,43.00122776448933
3,39,6,12,74,86.32040789491558
16,54,5,6,98,86.09688694091226
8,36,3,5,71,59.041327101017444
0,32,7,11,2,81.9668025297197
19,32,10,7,13,100.0
12,47,9,14,59,100.0
15,34,9,7,76,100.0
12,41,9,5,44,84.16214753095336
13,41,2,11,95,83.67073295883038
2,48,3,10,33,46.7542441212834
5,59,7,9,44,68.53031488365225
17,35,5,2,60,85.99544106094119
18,31,2,2,82,73.20529373959849
4,41,3,14,15,69.04332641686084
14,48,10,0,65,91.2577313459612
1,34,6,6,39,73.16958710515017
9,41,7,4,16,65.62796994223201
17,56,9,3,33,83.391442148525
12,56,1,9,15,49.94977683443912
4,46,7,14,59,83.26464038410806
0,58,8,3,65,41.437964564201515
0,46,3,13,65,72.10009367211632
17,39,4,3,89,80.29481944939548
14,54,10,5,12,66.75524317649452
16,52,6,14,55,100.0
10,46,10,7,30,96.62312749557931
16,44,7,7,33,90.63255218400448
12,41,4,4,38,66.17681973400317
0,59,8,14,66,80.89110998827866
1,45,5,5,7,36.62531274283859
8,53,1,3,86,31.603035067928122
2,48,4,11,77,65.16720487977136
0,37,3,13,54,68.6888946146494
15,50,9,10,26,100.0
5,46,8,12,92,98.87578261341233
16,52,1,8,52,55.65726932689632
4,34,6,7,38,76.35143455040473
4,51,9,9,64,84.79615973556483
5,45,7,11,16,69.51995816682272
2,35,4,9,29,59.85418841457016
4,37,1,0,52,26.865399362697232
4,54,2,14,12,45.72843498861913
9,47,5,1,20,46.186859887938965
9,54,5,8,18,56.265587307714306
18,41,8,7,52,100.0
16,44,6,13,18,98.59645346258463
13,56,8,2,56,57.23390588294693
8,55,2,7,24,26.548258392187748
13,38,3,11,85,95.94804773346014
0,42,6,0,30,35.33456038244697
18,55,10,9,80,100.0
12,44,3,3,54,55.47236421031456
12,39,6,2,22,66.47283701686757
3,45,6,5,31,57.04511686809394
0,36,2,6,61,46.423096862007064
16,46,7,3,73,89.80454675153055
7,52,2,6,9,32.657309206132986
1,55,6,8,99,59.29809129740114
7,50,1,10,71,54.17101431078123
6,51,3,1,53,25.419110592563516
1,55,2,10,51,35.30076535544046
2,36,7,2,19,53.68785654320018
17,43,4,4,31,70.02159165950506
11,44,8,2,13,66.06790559998505
0,50,6,10,49,52.85907644912896
11,36,10,7,27,100.0
4,38,4,11,52,77.57114203299776
16,48,5,9,23,88.81845247626119
15,45,9,7,78,100.0
14,37,7,7,21,91.20730917095742
14,47,10,11,29,100.0
4,56,9,11,62,89.86008934680528
13,52,7,8,3,74.8391648843701
1,58,1,3,76,14.166865869127285
10,47,8,4,58,75.32971900910573
18,59,4,4,86,64.61015216782569
6,49,3,7,7,43.84133367025423
5,36,7,6,81,78.09279688670705
1,32,3,8,11,59.327159295793905
5,47,8,14,30,98.03763228769186
17,56,6,14,77,100.0
1,39,5,13,33,69.28067717063479
17,36,4,7,81,85.12397005822294
14,46,8,1,97,78.14293063757887
18,43,8,9,74,100.0
1,53,1,11,75,43.57670929450327
19,32,9,3,48,100.0
5,41,5,5,78,55.37210182337918
0,57,4,11,56,45.22092189948668
14,42,6,1,94,84.63636403141041
9,31,6,6,92,92.91986297340324
18,32,2,2,25,58.638526326880076
16,34,8,12,17,100.0
4,40,7,2,95,64.14491290817375
3,37,1,10,85,62.66839529972699
9,55,5,1,37,38.502726894438574
16,52,6,10,80,98.71648332041146
9,52,4,7,86,58.11038186617444
16,41,2,5,87,71.15641715667451
19,36,4,0,49,77.25217170699554
4,44,1,11,7,36.62859972782259
1,53,7,0,40,26.98443991980011
5,46,2,6,5,33.99648654996032
1,33,2,7,68,55.03364919541896
12,58,9,4,43,69.15575078628615
10,51,5,11,63,78.20783558680574
10,54,2,10,28,54.266127807778204
15,42,9,4,27,94.64817500879934
10,47,9,3,10,63.6538916735512
18,30,1,13,64,100.0
14,45,3,5,18,64.16008000002861
15,42,4,13,8,88.02053969319434
10,39,7,5,26,70.80080423105741
15,41,10,2,33,85.9695404558639
7,59,4,8,43,46.79631279344068
3,31,2,11,67,76.5792365243381
7,52,7,10,99,86.59622075076689
3,32,6,13,81,100.0
2,39,3,6,14,35.81829158913098
2,31,6,0,50,57.915588164882735
17,59,6,14,12,83.67170714417323
18,56,5,12,82,94.87751757864184
18,52,4,6,48,74.74957431023147
4,42,10,4,69,71.60284250840034
17,42,1,4,55,60.86980574842854
9,47,10,13,75,100.0
5,32,6,12,50,94.08274699454557
0,56,2,1,36,2.4397219614403167
4,36,3,3,16,49.72917412674244
8,43,8,11,57,95.43439405400048
11,49,10,5,86,100.0
13,58,6,9,89,85.73476145591687
1,59,3,14,28,41.59270514635135
16,46,7,10,32,99.0540546262988
13,58,4,6,59,56.277951268310936
12,59,9,10,90,99.21078745370617
8,50,5,4,88,57.03054506283366
14,41,3,8,54,85.25088816672978
14,54,2,2,9,36.42699045398362
10,45,2,0,46,34.35890784080796
15,53,3,3,22,54.04557384034767
16,41,2,8,84,82.17139622041424
3,44,4,3,20,40.48812482430582
0,54,2,1,12,1.5915029376121224
7,39,10,9,32,100.0
16,59,9,13,23,100.0
2,54,2,13,10,41.476506769369685
19,36,9,4,16,100.0
14,49,6,2,67,65.05134083755804
14,34,1,12,46,82.19465666538457
13,30,4,11,24,92.71622491756914
13,59,1,12,93,67.74855508401147
1,46,6,8,72,64.24710490248268
12,32,4,3,20,70.86516266912854
13,42,3,5,83,74.8355915948982
18,43,3,1,82,66.41836221987315
6,53,9,5,82,82.3089194872597
2,59,6,2,11,32.565103117877285
14,47,9,11,36,95.98086852538941
13,33,5,11,41,100.0
10,47,2,8,16,46.73507901334251
14,59,8,10,47,92.4037401066165
12,34,5,1,27,69.59118970323216
17,54,2,14,40,75.61503702744724
5,45,4,11,98,68.33836450492119
2,30,9,11,46,100.0
18,50,4,8,17,74.07701241241806
14,43,4,4,77,64.05780623048686
4,44,2,7,98,67.24782252731411
9,38,6,1,70,70.12209706128276
6,44,2,5,12,38.75050020062576
16,46,7,2,81,90.02908876281025
6,54,3,11,12,45.49588023576749
11,53,3,11,99,77.45227056044338
16,33,5,13,30,100.0
12,41,3,9,1,62.16025776357408
19,56,2,4,15,48.92830000234619
3,55,10,11,8,67.27357666433774
9,34,9,7,72,100.0
2,58,2,9,37,25.760330200311394
8,34,2,13,74,86.51046122810172
12,40,8,0,53,77.47350630832673
17,57,9,4,55,88.71076402188228
14,35,7,2,85,95.99408322389075
3,36,3,3,96,60.060584232861856
14,53,9,1,99,85.83622726841703
1,43,3,8,86,64.63667949447208
14,53,5,2,44,55.39751260632341
7,40,9,14,33,100.0
7,59,3,1,8,17.636536816800202
16,42,7,9,87,100.0
11,31,1,10,7,76.66282364387526
18,54,4,8,6,72.85491736567606
9,36,4,6,35,70.75139072099758
8,49,7,5,17,61.05709672020676
4,33,8,0,2,53.362614142925686
5,56,1,4,27,19.906625022838796
19,37,5,11,69,100.0
1,49,7,10,43,74.2718176672051
12,58,4,13,20,68.11181647307313
5,51,4,14,27,67.92553366620365
4,50,4,10,53,54.05199461903355
0,48,6,2,53,42.21493131559611
5,42,7,0,64,53.531291935808355
5,43,2,3,99,49.04614395152549
15,39,5,12,20,99.78696734488695
3,40,4,1,98,45.3618394320573
10,31,3,1,12,43.782354395430026
8,54,7,2,56,61.85949958272273
2,55,6,7,48,48.63850482985458
18,38,7,7,53,100.0
7,46,5,11,9,70.2273226232337
4,55,6,14,52,69.1314993505089
3,32,5,6,43,67.91333068409944
